X;Y;angulo;fecha_actualizacion;hora_actualizacion;idpm;ih
725900.007;4372288.805;35;2018-03-28;00:45:01;101;383
725541.473;4371975.50499999989;164;2018-03-28;00:45:01;103;688
725371.153;4372023.247;154;2018-03-28;00:45:01;105;731
725265.054;4372052.205;236;2018-03-28;00:45:01;106;209
725318.289;4371865.739;60;2018-03-28;00:45:01;108;354
725642.985;4371969.74;84;2018-03-28;00:45:01;109;108
725643.827;4372117.66399999987;266;2018-03-28;00:45:01;110;191
725766.311;4372128.421;356;2018-03-28;00:45:01;111;82
725907.617;4372109.79;272;2018-03-28;00:45:01;112;124
725517.783;4369429.53199999966;174;;;4318
725493.45;4369428.207;354;;;4317;
726147.506;4372554.14599999972;167;2018-03-28;00:45:01;218;164
726239.968;4372808.14099999983;273;2018-03-28;00:45:01;220;396
726284.409;4372890.40799999982;54;2018-03-28;00:45:01;222;124
725946.934;4373179.836;59;2018-03-28;00:45:01;223;92
725851.861;4373194.87899999972;334;2018-03-28;00:45:01;224;759
726237.792;4372041.818;120;2018-03-28;00:45:01;225;40
726341.359;4372270.29899999965;181;2018-03-28;00:45:01;226;124
726486.1;4372006.206;211;2018-03-28;00:45:01;315;417
726447.395;4371947.22;31;2018-03-28;00:45:01;316;332
726567.401;4371912.25899999961;120;2018-03-28;00:45:01;317;82
726647.506;4372063.87299999967;31;2018-03-28;00:45:01;318;333
725817.248;4371590.99899999984;31;2018-03-28;00:45:01;320;437
726772.539;4372115.122;5;2018-03-28;00:45:01;321;564
726227.991;4371608.93;166;2018-03-28;00:45:01;322;82
725601.455;4371455.774;31;2018-03-28;00:45:01;323;146
725602.401;4371590.363;256;2018-03-28;00:45:01;324;146
724784.584;4371723.122;60;2018-03-28;00:45:04;830;20
724710.103;4372251.582;229;2018-03-28;00:45:04;831;61
724648.799;4371885.99;302;2018-03-28;00:45:04;832;104
724165.225;4372504.54399999976;31;2018-03-28;00:45:04;833;30
725928.384;4372134.30599999987;2;2018-03-28;00:45:01;113;62
725972.247;4372203.16299999971;177;2018-03-28;00:45:01;114;36
725901.875;4372257.23099999968;272;2018-03-28;00:45:01;115;155
725862.244;4372416.03899999987;277;2018-03-28;00:45:01;116;146
725770.573;4372266.82299999986;4;2018-03-28;00:45:01;119;463
725619.487;4372253.741;156;2018-03-28;00:30:00;122;18
725531.858;4372179.65799999982;341;2018-03-28;00:45:01;123;137
725501.084;4372203.60699999984;60;2018-03-28;00:45:01;124;192
725522.464;4372294.854;151;2018-03-27;23:30:02;125;90
725437.258;4372219.927;334;2018-03-28;00:30:01;126;18
725442.941;4372096.677;61;2018-03-28;00:45:01;127;239
725307.178;4372116.832;235;2018-03-28;00:45:01;128;124
725394.879;4372425.75299999956;274;2018-03-28;00:45:01;129;120
725410.964;4372162.478;273;2018-03-28;00:45:01;130;20
725633.905;4372463.52;122;2018-03-28;00:45:01;135;64
723631.887;4371007.625;52;2018-03-28;00:45:03;726;110
723597.188;4370981.319;230;2018-03-28;00:45:03;727;291
723969.993;4371503.092;185;2018-03-28;00:45:03;728;83
723718.132;4371457.295;275;2018-03-28;00:30:01;730;42
723621.823;4371462.325;4;2018-03-28;00:45:03;732;20
723593.913;4371444.926;275;2018-03-28;00:45:03;733;20
723582.234;4371472.704;184;2018-03-28;00:30:01;734;20
723409.856;4371446.38399999961;5;2018-03-28;00:45:03;735;20
723359.741;4371454.437;185;2018-03-28;00:45:03;736;20
724213.656;4372874.463;32;2018-03-28;00:45:04;834;42
724071.25;4371985.875;184;2018-03-28;00:45:04;901;333
723662.331;4372027.971;349;2018-03-28;00:45:04;902;20
723506.647;4372060.454;169;2018-03-28;00:45:04;903;82
723241.631;4372105.383;349;2018-03-28;00:45:04;904;292
722640.637;4372094.295;6;2018-03-28;00:45:04;905;84
722487.602;4372081.212;186;2018-03-28;00:45:04;906;20
722462.807;4372063.27099999972;7;2018-03-28;00:45:04;907;543
725912.241;4371983.466;224;2018-03-28;00:45:01;202;333
725971.652;4372041.501;222;2018-03-23;07:30:00;203;758
726129.779;4372192.12899999972;225;2018-03-28;00:45:01;204;270
726673.149;4371497.35599999968;165;2018-03-28;00:45:02;404;124
726641.591;4371562.94099999964;300;2018-03-28;00:45:02;405;82
726712.95;4371656.91899999976;120;2018-03-28;00:45:02;406;41
726687.711;4371432.474;210;2018-03-28;00:45:02;407;162
726758.591;4371459.42899999954;345;2018-03-28;00:45:02;408;82
726880.234;4371545.45799999963;211;2018-03-28;00:45:02;409;93
726935.764;4371724.543;297;2018-03-28;00:45:02;410;207
726980.239;4371462.79899999965;30;2018-03-28;00:45:02;434;187
725877.512;4370634.96;122;2018-03-28;00:45:02;502;185
726171.703;4370992.07;30;2018-03-28;00:45:02;510;312
726381.753;4370988.144;124;2018-03-28;00:45:02;511;83
726324.619;4371109.165;109;2018-03-28;00:45:02;512;30
726339.585;4371228.836;210;2018-03-28;00:30:01;513;22
726487.801;4371176.019;30;2018-03-28;00:45:02;514;270
726658.508;4371319.564;120;2018-03-28;00:30:01;515;20
726604.991;4371411.58;120;2018-03-28;00:45:02;516;20
722278.28;4372054.97599999979;7;2018-03-28;00:30:02;908;20
722486.779;4372090.24199999962;186;2018-03-28;00:45:04;909;354
723168.134;4372414.064;280;2018-03-28;00:45:04;910;332
723194.282;4372349.042;101;2018-03-28;00:45:04;911;312
723078.264;4372436.148;0;2018-03-28;00:30:02;912;42
723295.588;4372439.426;183;2018-03-28;00:45:04;913;45
723817.676;4372663.416;16;2018-03-28;00:45:04;914;62
723171.832;4372529.847;101;2018-03-28;00:45:04;915;144
724136.52;4372236.42499999981;30;2018-03-28;00:00:00;916;62
723905.63;4372321.21499999985;339;2018-03-28;00:45:04;917;30
723735.022;4372399.586;88;2018-03-28;00:15:01;918;30
722910.936;4372136.16399999987;186;2018-03-28;00:45:04;919;271
723310.25;4372518.284;15;2018-03-28;00:45:04;920;166
724400.147;4373145.49;300;2018-03-28;00:45:05;1018;229
724358.39;4373241.99;121;2018-03-28;00:45:05;1019;354
724399.27;4373556.863;211;2018-03-28;00:45:05;1020;20
724569.139;4373253.21899999958;203;2018-03-28;00:45:05;1021;374
724959.031;4373493.961;214;2018-03-28;00:45:05;1022;83
726514.39;4372383.64499999955;329;2018-03-28;00:45:01;207;104
726378.818;4372714.604;304;2018-03-28;00:45:01;209;334
726516.222;4372511.365;305;2018-03-28;00:45:01;210;165
726673.755;4372342.689;32;2018-03-28;00:45:01;211;104
726292.58;4372597.417;303;2015-10-16;10:45:03;212;1639
726198.239;4372396.86099999957;68;2018-03-28;00:45:01;213;145
725953.143;4373137.523;324;2018-03-28;00:45:01;214;585
726349.864;4372286.96499999985;119;2018-03-28;00:45:01;215;43
725837.975;4372624.473;167;2018-03-28;00:45:01;217;155
726687.746;4372205.837;299;2015-10-16;10:45:06;229;1549
723741.532;4371999.02199999988;348;2018-03-28;00:45:04;921;437
723050.841;4372469.729;194;2018-03-28;00:45:04;922;126
724086.279;4371940.525;348;2018-03-28;00:45:04;923;290
724224.336;4372029.23699999973;196;2018-03-28;00:45:04;924;375
723815.441;4372668.284;16;2018-03-28;00:45:04;925;104
723307.421;4372528.036;15;2018-03-28;00:45:05;927;161
723664.604;4372039.46899999958;169;2018-03-28;00:45:05;928;437
723725.702;4372578.03299999982;194;2018-03-28;00:45:05;929;60
724918.423;4373448.62799999956;33;2018-03-28;00:45:05;1034;20
724999.939;4373480.386;301;2018-03-28;00:45:05;1035;61
725127.28;4373585.81099999975;209;2018-03-28;00:45:05;1036;334
724613.112;4373265.77599999961;212;2018-03-28;00:45:05;1037;271
724935.663;4373625.258;120;2018-03-28;00:45:05;1038;41
725006.22;4373942.932;209;2018-03-28;00:45:05;1040;41
725130.595;4373954.62299999967;359;2018-03-28;00:45:05;1041;103
725329.269;4373643.713;356;2018-03-28;00:45:05;1101;62
725385.117;4373651.587;178;2018-03-28;00:45:05;1102;541
725545.291;4373642.571;177;2018-03-28;00:45:05;1104;395
