Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250043-València - Vivers
	
FECHA	HORA	SO2	NO	NO2	NOx	O3
		µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2024	00	3	3	9	13	52
01/01/2024	01	3	2	13	17	44
01/01/2024	02	3	2	18	22	32
01/01/2024	03	3	2	18	21	32
01/01/2024	04	3	2	9	13	43
01/01/2024	05	3	2	7	11	44
01/01/2024	06	3	2	8	12	42
01/01/2024	07	3	2	14	18	31
01/01/2024	08	3	2	10	14	37
01/01/2024	09	3	3	10	14	41
01/01/2024	10	3	4	15	20	36
01/01/2024	11	3	4	16	22	38
01/01/2024	12	3	5	11	18	46
01/01/2024	13	3	3	6	11	61
01/01/2024	14	3	3	7	12	65
01/01/2024	15	3	5	15	22	52
01/01/2024	16	3	3	16	21	51
01/01/2024	17	3	3	26	30	39
01/01/2024	18	3	3	28	33	36
01/01/2024	19	3	5	35	42	24
01/01/2024	20	3	13	48	67	6
01/01/2024	21	3	18	49	78	2
01/01/2024	22	3	6	39	48	6
01/01/2024	23	3	5	34	41	8
02/01/2024	00	3	12	34	52	5
02/01/2024	01	3	3	25	29	14
02/01/2024	02	3	2	14	18	29
02/01/2024	03	3	2	9	12	40
02/01/2024	04	3	2	6	10	47
02/01/2024	05	3	3	15	18	36
02/01/2024	06	3	3	18	23	36
02/01/2024	07	3	8	31	43	19
02/01/2024	08	3	5	20	27	33
02/01/2024	09	3	4	16	23	40
02/01/2024	10	3	3	13	18	44
02/01/2024	11	3	5	11	18	47
02/01/2024	12	3	3	11	15	50
02/01/2024	13	3	3	12	16	51
02/01/2024	14	3	4	13	19	53
02/01/2024	15	3	3	12	16	57
02/01/2024	16	3	4	22	27	43
02/01/2024	17	3	4	32	38	30
02/01/2024	18	3	4	27	33	37
02/01/2024	19	3	3	21	26	45
02/01/2024	20	3	3	25	30	39
02/01/2024	21	3	2	18	21	51
02/01/2024	22	3	3	21	26	42
02/01/2024	23	3	4	25	31	38
03/01/2024	00	3	2	11	14	58
03/01/2024	01	3	2	6	9	59
03/01/2024	02	3	2	5	8	59
03/01/2024	03	3	2	4	7	62
03/01/2024	04	3	3	6	10	54
03/01/2024	05	3	2	7	11	53
03/01/2024	06	3	2	10	14	50
03/01/2024	07	3	3	10	14	54
03/01/2024	08	3	4	17	22	45
03/01/2024	09	3	3	13	18	48
03/01/2024	10	3	3	13	17	52
03/01/2024	11	3	3	11	16	52
03/01/2024	12	3	3	8	14	56
03/01/2024	13	3	4	10	16	56
03/01/2024	14	3	3	7	12	58
03/01/2024	15	3	5	10	18	56
03/01/2024	16	3	5	13	20	53
03/01/2024	17	3	3	14	19	50
03/01/2024	18	3	2	15	19	46
03/01/2024	19	3	3	23	27	34
03/01/2024	20	3	2	21	24	39
03/01/2024	21	3	3	20	25	38
03/01/2024	22	3	2	10	14	49
03/01/2024	23	3	2	8	11	50
04/01/2024	00	3	2	5	8	56
