Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250050-València - Bulevard Sud
	
FECHA	HORA	SO2	NO	NO2	NOx	O3
		µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2024	00	3	3	7	12	52
01/01/2024	01	3	3	9	14	42
01/01/2024	02	3	9	22	36	29
01/01/2024	03	3	7	21	32	24
01/01/2024	04	3	3	4	9	40
01/01/2024	05	3	3	4	9	41
01/01/2024	06	3	3	4	9	35
01/01/2024	07	3	3	5	9	30
01/01/2024	08	3	3	8	13	26
01/01/2024	09	3	3	9	13	29
01/01/2024	10	3	3	11	16	30
01/01/2024	11	3	3	6	11	39
01/01/2024	12	5	3	5	10	47
01/01/2024	13	3	3	4	9	62
01/01/2024	14	3	4	4	9	67
01/01/2024	15	3	5	11	19	53
01/01/2024	16	3	6	14	23	50
01/01/2024	17	3	5	17	24	50
01/01/2024	18	3	4	18	23	45
01/01/2024	19	3	17	42	68	20
01/01/2024	20	3	29	68	112	3
01/01/2024	21	3	19	60	89	3
01/01/2024	22	3	39	55	114	3
01/01/2024	23	3	22	45	80	4
02/01/2024	00	3	26	44	84	3
02/01/2024	01	3	10	29	45	6
02/01/2024	02	3	3	10	14	25
02/01/2024	03	3	3	5	9	30
02/01/2024	04	3	3	5	9	35
02/01/2024	05	4	3	7	11	39
02/01/2024	06	4	3	12	17	37
02/01/2024	07	4	3	14	18	35
02/01/2024	08	3	3	8	13	42
02/01/2024	10	3	3	4	9	51
02/01/2024	11	3	3	4	9	52
02/01/2024	12	3	3	4	9	55
02/01/2024	13	3	4	4	9	54
02/01/2024	14	3	4	4	9	57
02/01/2024	15	3	4	4	9	59
02/01/2024	16	3	4	10	16	52
02/01/2024	17	3	5	19	26	47
02/01/2024	18	3	4	12	17	53
02/01/2024	19	3	4	8	14	58
02/01/2024	20	3	4	7	12	59
02/01/2024	21	3	4	6	12	59
02/01/2024	22	3	4	8	14	55
02/01/2024	23	3	4	10	15	54
03/01/2024	00	3	4	4	9	65
03/01/2024	01	3	4	4	9	63
03/01/2024	02	3	4	4	9	63
03/01/2024	03	3	4	4	9	64
03/01/2024	04	3	4	4	10	62
03/01/2024	05	3	4	4	10	58
03/01/2024	06	3	4	4	10	57
03/01/2024	07	3	4	5	11	54
03/01/2024	08	3	4	6	12	52
03/01/2024	09	3	4	8	13	52
03/01/2024	10	3	4	4	10	58
03/01/2024	11	3	4	4	9	55
03/01/2024	12	3	4	4	9	56
03/01/2024	13	3	4	4	9	58
03/01/2024	14	3	4	4	9	59
03/01/2024	15	3	4	4	9	58
03/01/2024	16	3	4	4	9	59
03/01/2024	17	3	3	4	9	57
03/01/2024	18	3	4	9	15	49
03/01/2024	19	3	4	18	23	40
03/01/2024	20	3	4	14	19	42
03/01/2024	21	3	4	10	15	47
03/01/2024	22	3	4	4	10	52
03/01/2024	23	3	4	4	10	49
04/01/2024	00	3	4	6	12	49
04/01/2024	01	3	4	4	10	48
04/01/2024	02	3	4	5	10	41
04/01/2024	03	3	4	4	10	40
04/01/2024	04	3	4	4	9	39
04/01/2024	05	3	6	12	20	24
04/01/2024	06	3	11	21	38	19
04/01/2024	07	3	16	33	57	7
04/01/2024	08	3	33	39	89	4
04/01/2024	09	3	22	31	64	11
04/01/2024	10	3	6	16	25	26
04/01/2024	11	3	5	8	15	36
04/01/2024	12	3	4	4	10	47
04/01/2024	13	3	14	14	34	43
04/01/2024	14	3	40	51	113	15
04/01/2024	15	3	39	54	113	16
04/01/2024	16	3	30	54	99	15
04/01/2024	17	3	22	52	85	16
04/01/2024	18	3	22	51	85	17
04/01/2024	19	3	21	50	83	12
04/01/2024	20	3	17	48	73	14
04/01/2024	21	3	16	50	76	8
04/01/2024	22	3	17	51	77	6
04/01/2024	23	3	11	45	62	4
05/01/2024	00	3	16	40	64	3
05/01/2024	01	3	11	32	49	4
05/01/2024	02	3	4	14	20	20
05/01/2024	03	3	4	7	13	29
05/01/2024	04	3	3	4	9	48
05/01/2024	05	3	3	4	9	52
05/01/2024	06	3	3	4	9	47
05/01/2024	07	3	3	10	15	38
05/01/2024	08	3	3	12	17	37
