Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250049-València-Conselleria Meteo.
	
FECHA	HORA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	Veloc.máx.
		m/s	grados	°C	% H.R.	mb	W/m²	l/m²	m/s
01/01/2024	00	1,6	313	13,6	63	1005	0	0	5,9
01/01/2024	01	3,5	303	13,8	61	1005	0	0	7,4
01/01/2024	02	1,5	292	12,7	65	1005	0	0	5
01/01/2024	03	0,8	294	12,3	64	1005	0	0	4,1
01/01/2024	04	2,5	278	11,5	66	1005	0	0	6,6
01/01/2024	05	3,6	276	11	68	1005	0	0	8,1
01/01/2024	06	3,5	276	10,5	71	1005	0	0	7,7
01/01/2024	07	2,9	283	10,3	71	1005	0	0	6,6
01/01/2024	08	2,4	291	10,6	68	1006	11	0	6
01/01/2024	09	1,8	299	10,6	62	1007	56	0	5,8
01/01/2024	10	1,2	282	11,2	61	1007	125	0	5,2
01/01/2024	11	0,2	277	12,8	54	1007	166	0	3,1
01/01/2024	12	0,1	244	15,6	44	1007	493	0	2,3
01/01/2024	13	0,1	248	17,6	35	1006	507	0	2,5
01/01/2024	14	0,2	169	19,3	30	1005	455	0	1,8
01/01/2024	15	1,9	141	17,5	38	1005	330	0	4,8
01/01/2024	16	2,8	120	15,6	43	1005	174	0	5,9
01/01/2024	17	2,3	143	14,5	52	1006	29	0	5,1
01/01/2024	18	2,9	149	13,2	64	1006	0	0	5,8
01/01/2024	19	0,3	270	12,8	63	1008	0	0	2,2
01/01/2024	20	3,5	314	11,8	65	1008	0	0	6,5
01/01/2024	21	2,9	313	11	62	1008	0	0	6
01/01/2024	22	3,1	312	10,9	60	1009	0	0	6,1
01/01/2024	23	3	315	10,4	59	1009	0	0	5,7
02/01/2024	00	1,5	265	10,2	56	1009	0	0	5
02/01/2024	01	3,7	272	11,1	53	1009	0	0	8,3
02/01/2024	02	3,1	266	10,7	53	1008	0	0	7
02/01/2024	03	2,5	249	10,4	54	1008	0	0	7,1
02/01/2024	04	2,6	259	11	51	1007	0	0	7,1
02/01/2024	05	5	272	11,5	50	1007	0	0	9,7
02/01/2024	06	4,2	242	11,8	54	1007	0	0	9,7
02/01/2024	07	6,1	234	11,4	56	1007	0	0	11,3
02/01/2024	08	7,4	239	11,1	59	1007	45	0	14,5
02/01/2024	09	8,9	232	12,3	56	1007	186	0	16,6
02/01/2024	10	8,3	227	13,4	52	1007	166	0	16
02/01/2024	11	9,5	232	14,2	50	1007	386	0	18,1
02/01/2024	12	8,3	238	15,2	48	1006	198	0	15,5
02/01/2024	13	6,6	240	15,9	47	1005	246	0	13,4
02/01/2024	14	4,2	268	17,8	39	1005	312	0	12,8
02/01/2024	15	2,8	260	18,1	44	1005	179	0	11,1
02/01/2024	16	1,8	253	18	46	1005	71	0	7,7
02/01/2024	17	2,9	264	18,1	46	1005	12	0	10,4
