Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250048-València - Molí del Sol
	
FECHA	HORA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
		µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2024	00	5	2	3	0,1	1	8	5	8	52
01/01/2024	01	4	2	3	0,1	1	9	4	10	55
01/01/2024	02	10	4	3	0,1	1	18	10	19	34
01/01/2024	03	7	3	3	0,1	2	21	8	24	33
01/01/2024	04	4	2	3	0,1	1	12	5	12	43
01/01/2024	05	4	2	3	0,1	1	14	6	14	35
01/01/2024	06	4	2	3	0,1	2	19	4	21	29
01/01/2024	07	4	2	3	0,1	1	18	4	18	29
01/01/2024	08	4	2	3	0,1	1	15	4	16	31
01/01/2024	09	5	2	3	0,1	1	16	7	18	31
01/01/2024	10	5	2	3	0,1	2	19	8	22	32
01/01/2024	11	5	2	3	0,1	4	20	8	26	35
01/01/2024	12	3	1	3	0,1	2	14	5	17	50
01/01/2024	13	2	1	3	0,1	1	7	3	8	62
01/01/2024	14	2	1	3	0,1	1	7	3	8	61
01/01/2024	15	3	1	3	0,1	4	23	5	29	47
01/01/2024	16	3	1	3	0,1	3	20	4	24	50
01/01/2024	17	3	1	3	0,1	2	30	4	33	40
01/01/2024	18	4	2	3	0,1	1	25	6	26	48
01/01/2024	19	7	2	3	0,1	1	32	10	33	27
01/01/2024	20	13	5	3	0,2	15	58	14	80	8
01/01/2024	21	16	7	3	0,2	1	39	19	40	14
01/01/2024	22	16	7	3	0,2	3	44	20	49	9
01/01/2024	23	18	8	3	0,2	2	37	19	41	11
02/01/2024	00	14	6	3	0,2	2	24	15	27	15
02/01/2024	01	10	4	3	0,1	2	21	12	22	20
02/01/2024	02	7	3	3	0,1	1	19	9	20	25
02/01/2024	03	5	2	3	0,1	3	16	6	19	29
02/01/2024	04	4	2	3	0,1	1	18	7	19	33
02/01/2024	05	3	1	3	0,1	1	21	5	21	40
02/01/2024	06	4	1	3	0,1	2	25	7	26	40
02/01/2024	07	4	1	3	0,1	1	30	10	31	33
02/01/2024	08	5	1	3	0,1	1	21	13	22	42
02/01/2024	09	5	1	3	0,1	1	16	14	18	49
02/01/2024	10	5	1	3	0,1	1	14	12	16	50
02/01/2024	11	6	1	3	0,1	2	12	18	15	54
02/01/2024	12	6	1	3	0,1	1	12	19	14	53
02/01/2024	13	6	2	3	0,1	2	15	19	17	53
02/01/2024	14	7	1	3	0,1	2	13	24	16	55
02/01/2024	15	5	1	3	0,1	1	11	17	13	59
02/01/2024	16	4	1	3	0,1	1	16	13	17	53
02/01/2024	17	6	1	3	0,1	1	25	15	27	45
02/01/2024	18	5	1	3	0,1	1	22	11	23	53
02/01/2024	19	4	1	3	0,1	1	16	7	17	59
02/01/2024	20	4	1	3	0,1	1	17	6	18	59
02/01/2024	21	4	1	3	0,1	1	16	5	16	59
02/01/2024	22	3	1	3	0,1	1	11	4	11	66
02/01/2024	23	3	1	3	0,1	1	14	4	14	61
03/01/2024	00	3	1	3	0,1	1	16	4	17	59
03/01/2024	01	3	1	3	0,1	1	9	5	9	65
03/01/2024	02	4	2	3	0,1	1	9	6	9	62
03/01/2024	03	4	1	3	0,1	1	6	5	6	63
03/01/2024	04	3	1	3	0,1	1	9	4	9	61
03/01/2024	05	4	1	3	0,1	1	9	6	9	56
03/01/2024	06	3	1	3	0,1	1	17	5	17	49
03/01/2024	07	4	1	3	0,1	1	20	6	21	48
03/01/2024	08	4	1	3	0,1	1	15	11	16	55
03/01/2024	09	5	1	3	0,1	1	17	11	19	51
03/01/2024	10	5	1	3	0,1	1	14	18	16	58
03/01/2024	11	6	2	3	0,1	1	11	14	12	59
03/01/2024	12	6	1	3	0,1	1	9	20	10	62
03/01/2024	13	6	1	3	0,1	1	8	15	10	62
03/01/2024	14	4	1	3	0,1	1	7	12	9	62
03/01/2024	15	3	1	3	0,1	1	7	11	8	62
03/01/2024	16	4	1	3	0,1	1	8	14	9	61
03/01/2024	17	6	1	3	0,1	1	12	22	13	57
03/01/2024	18	4	1	3	0,1	1	17	12	18	50
03/01/2024	19	3	1	3	0,1	1	20	6	21	47
03/01/2024	20	3	1	3	0,1	1	16	4	16	53
03/01/2024	21	4	1	3	0,1	1	20	6	20	50
03/01/2024	22	4	2	3	0,1	1	14	5	14	55
