Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250302-València Port llit antic Túria
	
FECHA	HORA	PM2.5	SO2	CO	NO	NO2	PM10	Veloc.	Direc.	Temp.	NOx	H.Rel.	Pres.	R.Sol.	Precip.	O3	Veloc.máx.
		µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	µg/m³	% H.R.	mb	W/m²	l/m²	µg/m³	m/s
01/01/2024	00	32	2	0,2	2	12	37	0,8	278	14,1	15	62	1026	1	0	51	2,1
01/01/2024	01	13	2	0,2	2	14	16	1,6	262	13,5	17	63	1026	1	0	50	3
01/01/2024	02	7	2	0,3	2	16	9	1,4	255	12,9	19	63	1026	1	0	45	2,2
01/01/2024	03	8	4	0,3	2	18	10	1,6	239	12,2	21	65	1026	1	0	41	2,8
01/01/2024	04	8	3	0,2	2	16	10	1,2	223	11	19	67	1026	1	0	42	1,9
01/01/2024	05	6	3	0,1	2	13	8	1,2	230	10,4	16	68	1025	1	0	42	2,1
01/01/2024	06	4	3	0,1	2	11	5	2,2	243	10,7	14	67	1026	1	0	45	3,5
01/01/2024	07	4	3	0,2	2	11	5	1,6	244	10,6	14	69	1026	1	0	41	2,8
01/01/2024	08	5	3	0,1	2	13	8	1,1	224	9,6	16	71	1027	8	0	33	1,9
01/01/2024	09	6	2	0,1	3	18	11	1,4	246	10,6	23	64	1027	54	0	33	2,2
01/01/2024	10	5	3	0,2	3	16	9	1,7	246	11,8	21	57	1028	116	0	44	3
01/01/2024	11	6	3	0,1	3	14	10	1,3	234	12,9	19	54	1028	162	0	46	2,2
01/01/2024	12	11	4	0,2	4	14	16	1	210	15	20	49	1026	370	0	49	1,8
01/01/2024	13	5	4	0,1	3	10	7	0,9	265	17	14	39	1023	470	0	65	2,1
01/01/2024	14	4	4	0,1	6	13	6	2,1	101	15,8	22	54	1026	394	0	55	2,9
01/01/2024	15	4	5	0,1	6	16	6	2,7	106	15,2	24	55	1026	289	0	52	3,8
01/01/2024	16	3	3	0,1	4	11	5	2,6	109	14,7	17	59	1027	122	0	61	3,6
01/01/2024	17	4	8	0,1	11	35	6	2,3	127	13,8	53	61	1027	10	0	33	3,4
01/01/2024	18	4	5	0,1	15	45	5	1,7	147	13,1	67	66	1028	1	0	25	2,8
01/01/2024	19	5	5	0,2	12	26	8	1,3	199	12,3	45	72	1029	1	0	36	1,9
01/01/2024	20	10	4	0,2	3	40	15	1,2	260	11,4	45	68	1029	1	0	15	2
01/01/2024	21	16	3	0,4	13	52	23	0,9	243	10,5	71	70	1029	1	0	5	1,5
01/01/2024	22	19	2	0,4	11	49	26	0,5	227	9,4	66	68	1030	1	0	5	1
01/01/2024	23	25	3	0,5	14	51	32	0,9	205	8,9	72	69	1031	1	0	2	1,3
02/01/2024	00	18	3	0,3	10	45	24	1,5	222	8,7	60	66	1031	1	0	5	2,2
02/01/2024	01	12	2	0,2	5	35	16	1,3	212	8,5	42	63	1031	1	0	10	1,9
02/01/2024	02	12	2	0,2	2	23	15	1,6	202	8,2	26	66	1030	1	0	29	2,3
02/01/2024	03	8	2	0,1	2	15	10	1,4	204	8,1	18	65	1030	1	0	39	2,2
02/01/2024	04	4	2	0,1	2	9	6	1,7	229	10,2	12	56	1029	1	0	54	2,9
02/01/2024	05	5	2	0,1	2	12	7	1,9	225	9,9	15	58	1029	1	0	49	3,1
02/01/2024	06	5	2	0,1	2	14	10	2,1	209	10,6	17	58	1029	1	0	48	3,5
02/01/2024	07	5	3	0,1	2	18	11	2,6	200	10,2	21	60	1029	1	0	42	3,9
02/01/2024	08	6	3	0,1	2	23	14	2,8	216	10,5	26	60	1029	16	0	36	4,9
02/01/2024	09	7	2	0,1	3	16	19	4	212	12,3	21	57	1029	131	0	51	7,4
02/01/2024	10	7	3	0,2	3	10	19	4	207	13,7	14	53	1029	174	0	56	7,8
02/01/2024	11	8	3	0,2	3	10	27	4,5	210	14,3	15	51	1030	275	0	56	7,9
