Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250900-València - Nazaret Met-2
	
FECHA	HORA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	Veloc.máx.
		m/s	grados	°C	% H.R.	mb	W/m²	l/m²	m/s
01/01/2024	00	1,2	269	14,2	61	1015	0	0	3,1
01/01/2024	01	1,6	263	13,7	63	1014	0	0	4
01/01/2024	02	1,4	263	13	64	1014	0	0	2,8
01/01/2024	03	1,8	245	12,3	66	1014	0	0	3
01/01/2024	04	1,2	230	11,7	67	1014	0	0	2,4
01/01/2024	05	1,6	239	11,1	69	1014	0	0	3,2
01/01/2024	06	1,7	254	10,8	70	1014	0	0	3,3
01/01/2024	07	2,1	254	10,7	70	1014	0	0	4,2
01/01/2024	08	0,9	232	10,4	71	1015	0	0	2
01/01/2024	09	1,5	252	11,3	63	1016	31	0	3,3
01/01/2024	10	2,1	251	12,3	56	1016	96	0	4,2
01/01/2024	11	1	238	13,5	52	1016	140	0	2,9
01/01/2024	12	0,3	203	16,4	44	1016	371	0	0,9
01/01/2024	13	0,5	268	20,6	30	1015	465	0	1,9
01/01/2024	14	1,5	59	19,7	39	1015	405	0	2,8
01/01/2024	15	2,9	74	17,3	46	1015	294	0	5,1
01/01/2024	16	2,4	82	16,9	49	1015	145	0	4,5
01/01/2024	17	0,9	106	15,4	56	1016	12	0	2
01/01/2024	18	0,3	145	14,1	65	1016	0	0	1
01/01/2024	19	0,7	208	12,9	72	1017	0	0	1,9
01/01/2024	20	1	253	12,2	66	1017	0	0	2
01/01/2024	21	0,4	236	11,2	69	1018	0	0	1
01/01/2024	22	0,2	258	10,8	66	1018	0	0	0,5
01/01/2024	23	0,2	207	10,2	66	1018	0	0	0,5
02/01/2024	00	0,8	228	9,6	64	1018	0	0	1,6
02/01/2024	01	0,5	213	9,4	62	1018	0	0	1,4
02/01/2024	02	0,6	199	9,2	66	1017	0	0	1,3
02/01/2024	03	1,1	209	9,3	63	1017	0	0	2,9
02/01/2024	04	1,9	231	11	54	1016	0	0	3,8
02/01/2024	05	2,2	230	10,5	58	1016	0	0	4,8
02/01/2024	06	2,5	212	11,3	57	1016	0	0	5,3
02/01/2024	07	2,9	201	11	59	1016	0	0	6,3
02/01/2024	08	3,6	219	11,3	59	1017	15	0	7,9
02/01/2024	09	5,7	215	13,2	55	1017	140	0	12,3
02/01/2024	10	5,5	206	14,3	50	1017	154	0	11,6
02/01/2024	11	6,4	211	15	49	1017	271	0	13,6
02/01/2024	12	6,6	210	16	48	1016	213	0	14
02/01/2024	13	5,5	215	16,1	49	1015	219	0	11,8
02/01/2024	14	4,7	227	18,1	43	1014	253	0	10
02/01/2024	15	4,3	234	18,8	42	1014	146	0	9,9
02/01/2024	16	2,1	216	18,4	45	1014	43	0	5,2
02/01/2024	17	3,5	236	18,2	46	1014	2	0	7,8
02/01/2024	18	4	234	17,9	50	1014	0	0	8,6
02/01/2024	19	4	226	17,9	52	1014	0	0	8,4
02/01/2024	20	2	207	17,6	54	1015	0	0	4,5
02/01/2024	21	1,6	223	17,3	57	1015	0	0	4,2
02/01/2024	22	1,5	204	17,2	57	1015	0	0	4,1
02/01/2024	23	2,4	230	17,4	56	1015	0	0	6,5
03/01/2024	00	1,6	203	17,2	59	1014	0	0	4,4
03/01/2024	01	4,5	214	17,3	59	1013	0	0	9,7
03/01/2024	02	3	202	17	59	1013	0	0	7,2
03/01/2024	03	1,8	202	16,7	60	1013	0	0	4,7
03/01/2024	04	1,5	172	15,8	63	1013	0	0	4
03/01/2024	05	1,5	178	16	64	1013	0	0	3,4
03/01/2024	06	3,2	219	16,9	61	1013	0	0	7,1
03/01/2024	07	4,5	228	16,7	62	1013	0	0	10
03/01/2024	08	2,8	205	16,7	63	1014	0	0	6,6
03/01/2024	09	4,4	213	17,1	62	1014	52	0	10,5
03/01/2024	10	4,5	216	17,3	62	1015	91	0	9,6
03/01/2024	11	5,3	234	18,6	58	1015	312	0	11,8
03/01/2024	12	6,9	234	20,5	51	1014	452	0	13,7
03/01/2024	13	6,8	228	21,9	48	1013	424	0	13,7
03/01/2024	14	6,8	241	23	46	1012	376	0	13
03/01/2024	15	5,9	235	23,5	44	1012	298	0	12,2
03/01/2024	16	6,1	235	23	45	1012	160	0	12,8
03/01/2024	17	6,5	247	21	50	1012	12	0	13
03/01/2024	18	5,2	242	19,5	55	1012	0	0	11,3
03/01/2024	19	5,1	267	18,8	57	1012	0	0	9,8
03/01/2024	20	2,3	231	18,3	59	1013	0	0	5
03/01/2024	21	3,6	246	18	61	1013	0	0	7,8
03/01/2024	22	3,1	238	18	64	1013	0	0	7,2
03/01/2024	23	1,8	250	17,5	65	1013	0	0	5,2
04/01/2024	00	4,1	265	17,6	62	1014	0	0	7,8
04/01/2024	01	2,1	257	17,2	63	1013	0	0	4,5
04/01/2024	02	1,4	214	16,2	69	1013	0	0	2,6
04/01/2024	03	1	207	15,4	74	1013	0	0	2,3
04/01/2024	04	0,3	201	14,6	78	1013	0	0	0,8
04/01/2024	05	0,5	206	14,3	79	1013	0	0	1,1
04/01/2024	06	0,7	191	14,2	80	1013	0	0	1,7
04/01/2024	07	1,1	183	14	82	1013	0	0	2,2
04/01/2024	08	1,4	200	14,1	80	1013	2	0	3,1
04/01/2024	09	1,2	221	15,6	75	1013	71	0	2,8
04/01/2024	10	1,1	231	17,3	67	1013	150	0	2,9
04/01/2024	11	0,3	277	21,4	52	1013	307	0	1,1
04/01/2024	12	0,7	65	20	60	1012	378	0	1,7
04/01/2024	13	1	47	19	63	1011	273	0	2,2
04/01/2024	14	0,5	51	19,2	63	1010	205	0	1,5
04/01/2024	15	1,4	64	18,1	68	1009	171	0	3
04/01/2024	16	1,3	66	16,9	75	1008	72	0	3,3
04/01/2024	17	0,7	101	16,2	77	1008	5	0	2,5
04/01/2024	18	0,9	55	16	77	1008	0	0	2,2
04/01/2024	19	1,1	18	15	89	1007	0	0	2,7
04/01/2024	20	1	20	14,4	92	1007	0	0	2,5
04/01/2024	21	0,6	8	14,1	91	1007	0	0	1,6
04/01/2024	22	0,6	296	14,4	89	1006	0	0	1,6
04/01/2024	23	0,2	202	14,3	87	1006	0	0,3	0,7
05/01/2024	00	0,6	219	13,6	93	1005	0	0,9	1,3
05/01/2024	01	0,7	230	13,5	94	1004	0	0	1,6
05/01/2024	02	0,8	230	13,9	90	1004	0	0	2
05/01/2024	03	0,7	203	13,6	89	1003	0	0	2,1
05/01/2024	04	2,7	223	13,9	81	1002	0	0	6
05/01/2024	05	4	226	13,8	79	1001	0	0	8,3
05/01/2024	06	3,4	223	13,6	78	1001	0	0	7,5
05/01/2024	07	2,6	250	13,2	74	1001	0	0	5,9
05/01/2024	08	4,5	234	13,2	72	1001	3	0	8,1
05/01/2024	09	4	231	14,5	69	1002	133	0	8,7
05/01/2024	10	4,6	224	15,9	60	1002	280	0	10,3
05/01/2024	11	5,4	236	17	51	1002	401	0	11
05/01/2024	12	4,7	246	17,1	45	1001	262	0	10,6
05/01/2024	13	5,2	260	18,1	40	1000	370	0	12,4
05/01/2024	14	4,4	271	19,4	36	1000	432	0	10,4
05/01/2024	15	8,1	271	17,8	37	1000	216	0	16
05/01/2024	16	6,6	277	15,3	38	1001	48	0	16
05/01/2024	17	3,8	276	14,7	38	1002	1	0	9,5
05/01/2024	18	2,4	271	14,3	41	1003	0	0	6
05/01/2024	19	3,7	269	14,3	42	1003	0	0	8,9
05/01/2024	20	4,3	274	14,2	42	1004	0	0	10,1
05/01/2024	21	5,5	269	13,8	41	1004	0	0	11,1
05/01/2024	22	4,1	266	13,2	40	1004	0	0	9,1
05/01/2024	23	4,6	271	13	38	1005	0	0	10,1
06/01/2024	00	3,3	270	12,5	40	1005	0	0	7,3
06/01/2024	01	3,6	263	11,5	46	1005	0	0	7,6
06/01/2024	02	3,5	265	11,1	48	1006	0	0	7,5
06/01/2024	03	4,4	268	11,2	46	1006	0	0	8,2
06/01/2024	04	3,2	266	10,9	47	1006	0	0	6,9
06/01/2024	05	1,7	262	10,4	50	1007	0	0	5,4
06/01/2024	06	1,6	244	10,3	51	1007	0	0	3,7
06/01/2024	07	1,6	214	9,3	57	1008	0	0	4,2
06/01/2024	08	4,6	249	9,7	57	1009	9	0	9,2
06/01/2024	09	3	259	11,9	49	1010	137	0	6,8
06/01/2024	10	1,9	256	14,5	41	1011	290	0	4,3
06/01/2024	11	2,4	272	17,6	31	1011	408	0	6,8
06/01/2024	12	2,6	254	18,1	27	1010	476	0	6,4
06/01/2024	13	1,9	282	20,2	23	1010	395	0	6,2
06/01/2024	14	4,8	278	19,4	23	1010	431	0	12,4
06/01/2024	15	7,3	275	18,4	25	1010	319	0	17,6
06/01/2024	16	9,4	277	17,4	25	1011	175	0	20,7
06/01/2024	17	8,3	275	15,9	27	1011	26	0	17,5
06/01/2024	18	7,7	275	14,5	31	1011	0	0	15,6
06/01/2024	19	4,9	275	13,6	33	1012	0	0	12
06/01/2024	20	6,5	274	13	37	1013	0	0	14,9
06/01/2024	21	5,9	270	12,3	39	1013	0	0	11,1
06/01/2024	22	8,1	273	12,3	41	1013	0	0	16,4
06/01/2024	23	6,5	273	12,1	39	1013	0	0	14,8
07/01/2024	00	7,4	273	12,3	37	1013	0	0	16,1
07/01/2024	01	7,2	271	11,9	38	1013	0	0	14,7
07/01/2024	02	7,1	270	10,9	42	1013	0	0	12,8
07/01/2024	03	5	264	10,5	44	1014	0	0	9,9
07/01/2024	04	5,2	263	10	46	1014	0	0	9,9
07/01/2024	05	6,7	267	9,8	46	1013	0	0	14,6
07/01/2024	06	8,9	271	10	46	1014	0	0	15,7
07/01/2024	07	8,2	271	9,6	47	1014	0	0	15,3
07/01/2024	08	6,1	266	9,7	46	1015	10	0	12,7
07/01/2024	09	7,7	271	11,8	40	1015	145	0	14,3
07/01/2024	10	8,5	271	13,7	35	1015	301	0	15,8
07/01/2024	11	8,7	271	15,1	32	1015	421	0	15,7
07/01/2024	12	6,2	268	16,4	29	1015	485	0	13,3
07/01/2024	13	6,1	270	17,4	27	1014	490	0	14,4
07/01/2024	14	5	277	18,3	24	1014	438	0	12,4
07/01/2024	15	5,5	279	18,4	23	1014	329	0	12,4
07/01/2024	16	4,9	278	18,1	23	1014	178	0	12,7
07/01/2024	17	3,2	281	16	26	1014	27	0	9,5
07/01/2024	18	2	281	13,7	30	1014	0	0	4,8
07/01/2024	19	2,1	275	13	32	1014	0	0	6,1
07/01/2024	20	3,4	279	12,4	34	1014	0	0	8,6
07/01/2024	21	4,6	276	12,1	37	1014	0	0	10,1
07/01/2024	22	6,5	278	11,6	39	1014	0	0	13,1
07/01/2024	23	3,4	255	10,9	40	1014	0	0	9,8
08/01/2024	00	1,7	266	10,4	42	1014	0	0	5,5
08/01/2024	01	3	260	9,7	45	1014	0	0	7,4
08/01/2024	02	7,5	270	9,8	44	1013	0	0	13,8
08/01/2024	03	7,2	273	9,8	44	1013	0	0	14
08/01/2024	04	7,3	271	9,8	42	1013	0	0	13,8
08/01/2024	05	5,5	272	9,1	43	1012	0	0	11,1
08/01/2024	06	6,2	276	9,3	41	1012	0	0	14,3
08/01/2024	07	2,8	262	9,4	39	1013	0	0	9,7
08/01/2024	08	1,1	284	10	38	1014	10	0	3,8
08/01/2024	09	1,5	264	12,4	34	1014	147	0	4,1
08/01/2024	10	2,2	248	12,7	33	1015	306	0	5,5
08/01/2024	11	3,5	260	14,3	30	1015	428	0	8,3
08/01/2024	12	3,2	257	15,9	25	1014	497	0	8,7
08/01/2024	13							0,2	
08/01/2024	14	4,5	270	18,5	16	1013	452	0	10
08/01/2024	15	3,5	272	19,6	15	1013	340	0	9
08/01/2024	16	2,3	272	19,8	15	1013	181	0	5,4
08/01/2024	17	1,7	281	16,6	16	1013	11	0	5,4
08/01/2024	18	0,3	306	14,4	20	1014	0	0	1,7
08/01/2024	19	0,1	226	13,4	22	1015	0	0	0,3
08/01/2024	20	0,2	286	13	24	1015	0	0	0,3
08/01/2024	21	0,1	212	11,7	28	1016	0	0	0,3
08/01/2024	22	0,1	221	10,8	34	1016	0	0	0,3
08/01/2024	23	0,1	233	10,4	39	1016	0	0	0,3
09/01/2024	00	0,4	225	9,9	42	1016	0	0	1,2
09/01/2024	01	0,3	228	9,9	42	1015	0	0	0,8
09/01/2024	02	0,1	209	9,8	46	1015	0	0	0,3
09/01/2024	03	0,1	251	9,1	51	1015	0	0	0,3
09/01/2024	04	0,1	265	9,6	48	1015	0	0	0,3
09/01/2024	05	0,5	257	9,5	48	1015	0	0	1,4
09/01/2024	06	0,1	264	9,3	45	1016	0	0	0,4
09/01/2024	07	0,2	259	9,6	42	1016	0	0	0,4
09/01/2024	08	0,1	246	9,6	45	1016	0	0	0,3
09/01/2024	09	0,1	273	11,1	42	1017	65	0	0,3
09/01/2024	10	0,1	333	14,7	34	1017	240	0	0,3
09/01/2024	11	0,2	36	16,5	32	1017	348	0	0,7
09/01/2024	12	0,8	31	16,9	35	1017	444	0	2
09/01/2024	13	0,3	70	15,9	38	1016	320	0	0,8
09/01/2024	14	0,2	60	15	40	1015	228	0	1
09/01/2024	15	1,3	30	14,8	46	1015	226	0	2,4
09/01/2024	16	1,8	29	14,3	57	1015	124	0	3,6
09/01/2024	17	1,6	34	13,3	66	1015	8	0	3,4
09/01/2024	18	1,2	27	13,2	67	1016	0	0	2,7
09/01/2024	19	0,7	359	13,1	67	1016	0	0	2,2
09/01/2024	20	0,5	321	12,3	69	1016	0	0	1,8
09/01/2024	21	1,1	299	11,8	70	1016	0	0	3,5
09/01/2024	22	1,5	294	11,7	70	1016	0	0	4,4
09/01/2024	23	0,8	310	11,7	70	1016	0	0	2,6
10/01/2024	00	0,2	265	11,6	70	1016	0	0	0,8
10/01/2024	01	0,6	254	10,8	73	1015	0	0	1,4
10/01/2024	02	0,8	267	11	72	1015	0	0	1,8
10/01/2024	03	0,7	261	11,1	72	1015	0	0	1,7
10/01/2024	04	0,1	223	10,3	74	1015	0	0	0,3
10/01/2024	05	0,2	231	10,1	75	1015	0	0	0,6
10/01/2024	06	0,3	201	9,4	78	1015	0	0	1,1
10/01/2024	07	0,7	244	9,3	79	1015	0	0	1,1
10/01/2024	08	0,3	239	9,8	77	1015	6	0	0,8
10/01/2024	09	0,2	230	11,5	72	1016	90	0	0,5
10/01/2024	10	0,3	232	12,1	70	1016	106	0	1,2
10/01/2024	11	0,4	221	14,3	63	1016	335	0	1,3
10/01/2024	12	1,2	170	14,8	61	1016	378	0	3,1
10/01/2024	13	1,8	171	14	65	1015	225	0	3,7
10/01/2024	14	1,9	181	14,1	65	1014	116	0	4,7
10/01/2024	15	3	222	14,3	58	1013	59	0	8,2
10/01/2024	16	2,7	215	14,3	58	1013	16	0	6,4
10/01/2024	17	2,1	216	14,3	57	1013	0	0	5,6
10/01/2024	18	3,3	224	14,3	57	1013	0	0	8
10/01/2024	19	2,7	219	13,7	61	1013	0	0	6,7
10/01/2024	20	1,6	219	13,2	62	1013	0	0	3,9
10/01/2024	21	1,6	234	13	62	1013	0	0	3,9
10/01/2024	22	2	259	13,1	61	1013	0	0	3,8
10/01/2024	23	2,6	270	12,9	63	1014	0	0	5,9
11/01/2024	00	2,7	266	12,2	72	1013	0	0	5,7
11/01/2024	01	1,9	263	11,8	78	1013	0	0	4
11/01/2024	02	0,5	233	11,4	81	1013	0	0	1,3
11/01/2024	03	0,1	211	11,3	83	1013	0	0	0,3
11/01/2024	04	0,1	219	11,2	85	1013	0	0	0,3
11/01/2024	05	0,3	328	11,1	83	1013	0	0	0,8
11/01/2024	06	0,3	312	10,8	85	1014	0	0	1
11/01/2024	07	0,8	340	11	80	1015	0	0	2,3
11/01/2024	08	3,1	33	11,4	63	1015	0	0	6,9
11/01/2024	09	3,5	24	11,4	58	1016	5	0	7,4
11/01/2024	10	0,7	296	12	59	1017	79	0	2,3
11/01/2024	11	0,5	336	13,4	50	1018	229	0	1,4
11/01/2024	12	1,3	59	14,6	47	1017	392	0	2,6
11/01/2024	13	1,4	67	15,6	43	1017	469	0	3
11/01/2024	14	1,6	127	15,5	43	1017	443	0	3,8
11/01/2024	15	1,9	107	15,3	46	1017	318	0	4,4
11/01/2024	16	2,6	82	14,2	49	1017	180	0	4,6
11/01/2024	17	1,8	61	12,8	52	1018	28	0	4
11/01/2024	18	0,9	45	11,9	55	1018	0	0	2,7
11/01/2024	19	1,5	60	11,9	55	1019	0	0	3,7
11/01/2024	20	1,8	67	12	55	1020	0	0	4,1
11/01/2024	21	2,1	56	11,9	53	1020	0	0	5,9
11/01/2024	22	1,3	46	11,1	55	1020	0	0	3,2
11/01/2024	23	1,2	50	10,3	59	1021	0	0	2,6
12/01/2024	00	0,8	252	8,9	59	1021	0	0	1,7
12/01/2024	01	0,1	324	8,7	58	1021	0	0	0,2
12/01/2024	02	0,1	292	8,3	58	1021	0	0	0,3
12/01/2024	03	0,7	272	8	58	1021	0	0	1,8
12/01/2024	04	0,4	256	7,2	60	1021	0	0	0,9
12/01/2024	05	0,4	280	7,3	60	1021	0	0	1
